2026-07-06 20:28:16,247 | INFO | jobs.job_raw | creating DataFrame for Robusta data from path: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:28:16,247 | INFO | readers | Reading Excel file: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:28:17,594 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/cepea//robusta_cepa.parquet
2026-07-06 20:28:17,594 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 20:28:54,106 | INFO | spark_session | Creating Spark session
2026-07-06 20:29:01,142 | INFO | jobs.job_raw | creating DataFrame for Robusta data from path: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:29:01,142 | INFO | readers | Reading Excel file: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:29:02,574 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/cepea//robusta_cepa.parquet
2026-07-06 20:29:02,574 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/cepea//robusta_cepa.parquet
2026-07-06 20:29:02,666 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 20:29:14,241 | INFO | spark_session | Creating Spark session
2026-07-06 20:29:21,135 | INFO | jobs.job_raw | creating DataFrame for Robusta data from path: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:29:21,135 | INFO | readers | Reading Excel file: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:29:22,409 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/cepea//robusta_cepa.parquet
2026-07-06 20:29:22,409 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/cepea//robusta_cepa.parquet
2026-07-06 20:29:55,349 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 20:45:57,698 | INFO | spark_session | Creating Spark session
2026-07-06 20:46:05,679 | INFO | jobs.job_raw | creating DataFrame for IPCA data from path: ../storage/raw/serie_433.json
2026-07-06 20:46:05,680 | INFO | readers | Reading JSON file: ../storage/raw/serie_433.json
2026-07-06 20:46:07,274 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 20:46:07,274 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 20:47:20,552 | INFO | spark_session | Creating Spark session
2026-07-06 20:47:28,140 | INFO | jobs.job_raw | creating DataFrame for IPCA data from path: ../storage/raw/serie_433.json
2026-07-06 20:47:28,140 | INFO | readers | Reading JSON file: ../storage/raw/serie_433.json
2026-07-06 20:47:29,545 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 20:47:29,545 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 20:47:32,367 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 20:50:19,001 | INFO | spark_session | Creating Spark session
2026-07-06 20:50:26,248 | INFO | jobs.job_raw | creating DataFrame for IPCA data from path: ../storage/raw/serie_433.json
2026-07-06 20:50:26,248 | INFO | readers | Reading JSON file: ../storage/raw/serie_433.json
2026-07-06 20:50:27,729 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 20:50:27,729 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 20:50:30,808 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 20:50:40,254 | INFO | spark_session | Creating Spark session
2026-07-06 20:50:47,898 | INFO | jobs.job_raw | creating DataFrame for IPCA data from path: ../storage/raw/serie_433.json
2026-07-06 20:50:47,898 | INFO | readers | Reading JSON file: ../storage/raw/serie_433.json
2026-07-06 20:50:49,607 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 20:50:49,607 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 20:50:51,711 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 20:53:12,927 | INFO | spark_session | Creating Spark session
2026-07-06 20:53:21,667 | INFO | jobs.job_raw | creating DataFrame for SELIC data from path: ../storage/raw/serie_11.json
2026-07-06 20:53:21,667 | INFO | readers | Reading JSON file: ../storage/raw/serie_11.json
2026-07-06 20:53:23,813 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/bcb/selic/serie_11.parquet
2026-07-06 20:53:23,813 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/bcb/selic/serie_11.parquet
2026-07-06 20:53:26,034 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 20:58:52,041 | INFO | spark_session | Creating Spark session
2026-07-06 20:58:59,210 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 21:00:27,660 | INFO | spark_session | Creating Spark session
2026-07-06 21:00:35,364 | INFO | jobs.job_raw | Starting raw data ingestion jobs...
2026-07-06 21:00:35,365 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 21:02:15,881 | INFO | spark_session | Creating Spark session
2026-07-06 21:02:23,109 | INFO | jobs.job_raw | Starting raw data ingestion jobs...
2026-07-06 21:02:23,110 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 21:04:28,513 | INFO | spark_session | Creating Spark session
2026-07-06 21:04:36,231 | INFO | jobs.job_raw | Starting raw data ingestion jobs...
2026-07-06 21:04:36,231 | INFO | jobs.job_raw | creating DataFrame for INMET (Patrocinio) data from path: ../storage/raw/dados_A523_D_2025-01-01_2026-07-06.csv
2026-07-06 21:04:36,231 | INFO | readers | Reading CSV file: ../storage/raw/dados_A523_D_2025-01-01_2026-07-06.csv
2026-07-06 21:04:38,755 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 21:04:38,755 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 21:04:39,645 | INFO | jobs.job_raw | creating DataFrame for INMET (Franca) data from path: ../storage/raw/dados_A708_D_2025-01-01_2026-07-06.csv
2026-07-06 21:04:39,645 | INFO | readers | Reading CSV file: ../storage/raw/dados_A708_D_2025-01-01_2026-07-06.csv
2026-07-06 21:04:39,843 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 21:04:39,843 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 21:04:40,116 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 21:31:21,859 | INFO | spark_session | Creating Spark session
2026-07-06 21:31:29,794 | INFO | spark_session | Creating Spark session
2026-07-06 21:31:30,179 | INFO | jobs.job_bronze | creating DataFrame for IPCA data from path: ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 21:31:30,179 | INFO | pipeline | Reading Parquet file: ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 21:31:31,927 | INFO | jobs.job_bronze | Writing DataFrame to Parquet at: ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 21:31:31,928 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 21:33:55,001 | INFO | spark_session | Creating Spark session
2026-07-06 21:34:02,505 | INFO | jobs.job_raw | Starting raw data ingestion jobs...
2026-07-06 21:34:02,505 | INFO | jobs.job_raw | creating DataFrame for INMET (Patrocinio) data from path: ../storage/raw/dados_A523_D_2025-01-01_2026-07-06.csv
2026-07-06 21:34:02,505 | INFO | pipeline | Creating DataFrame from path: ../storage/raw/dados_A523_D_2025-01-01_2026-07-06.csv
