2026-07-09 22:20:39,736 | INFO | app.src.jobs.job_raw | Preparando os dados: inmet_patrocinio
2026-07-09 22:20:39,736 | INFO | app.src.jobs.job_raw | Preparando os dados: inmet_franca
2026-07-09 22:20:39,737 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:22:34,185 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:22:34,185 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 22:22:42,315 | INFO | app.src.jobs.job_raw | Preparando os dados: inmet_patrocinio
2026-07-09 22:22:42,316 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:45:24,737 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:45:24,737 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 22:45:32,650 | INFO | app.src.jobs.job_raw | Starting raw preparation for source: inmet_patrocinio
2026-07-09 22:45:32,651 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:47:46,421 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:47:46,421 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 22:47:53,579 | INFO | app.src.jobs.job_raw | Starting raw preparation for source: inmet_patrocinio
2026-07-09 22:47:53,580 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:48:56,544 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:48:56,544 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 22:49:04,166 | INFO | app.src.jobs.job_raw | Starting raw preparation for source: inmet_patrocinio
2026-07-09 22:49:04,167 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:50:43,126 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:50:43,126 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 22:50:50,489 | INFO | app.src.jobs.job_raw | Starting raw preparation for source: inmet_patrocinio
2026-07-09 22:50:50,494 | INFO | app.src.jobs.job_raw | Metadata file written with 9 fields: /home/ivan/Documentos/Labs/Culltivo/storage/meta/inmet_patrocinio/metadata.json
2026-07-09 22:50:50,495 | INFO | app.src.jobs.job_raw | Cleaned INMET file written to: /home/ivan/Documentos/Labs/Culltivo/storage/raw/dados_A523_D_2025-01-01_2026-07-06_inmet_patrocinio_cleaned.csv
2026-07-09 22:50:50,495 | INFO | app.src.jobs.job_raw | Raw preparation completed for 'inmet_patrocinio'. Cleaned file: /home/ivan/Documentos/Labs/Culltivo/storage/raw/dados_A523_D_2025-01-01_2026-07-06_inmet_patrocinio_cleaned.csv
2026-07-09 22:50:50,495 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:53:44,269 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:53:44,270 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 22:53:51,949 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:54:22,688 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:54:22,689 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 22:54:30,271 | INFO | app.src.jobs.job_raw | Starting raw preparation for source: inmet_franca
2026-07-09 22:54:30,272 | INFO | app.src.jobs.job_raw | Metadata file written with 9 fields: /home/ivan/Documentos/Labs/Culltivo/storage/meta/inmet_franca/metadata.json
2026-07-09 22:54:30,273 | INFO | app.src.jobs.job_raw | Cleaned INMET file written to: /home/ivan/Documentos/Labs/Culltivo/storage/raw/dados_A708_D_2025-01-01_2026-07-06_inmet_franca_cleaned.csv
2026-07-09 22:54:30,273 | INFO | app.src.jobs.job_raw | Raw preparation completed for 'inmet_franca'. Cleaned file: /home/ivan/Documentos/Labs/Culltivo/storage/raw/dados_A708_D_2025-01-01_2026-07-06_inmet_franca_cleaned.csv
2026-07-09 22:54:30,273 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:55:33,836 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:55:33,836 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 22:55:41,144 | INFO | app.src.jobs.job_raw | Starting raw preparation for source: inmet_franca
2026-07-09 22:55:41,146 | INFO | app.src.jobs.job_raw | Metadata file written with 9 fields: /home/ivan/Documentos/Labs/Culltivo/storage/meta/inmet_franca/metadata.json
2026-07-09 22:55:41,147 | INFO | app.src.jobs.job_raw | Cleaned INMET file written to: /home/ivan/Documentos/Labs/Culltivo/storage/raw/dados_A708_D_2025-01-01_2026-07-06_inmet_franca_cleaned.csv
2026-07-09 22:55:41,147 | INFO | app.src.jobs.job_raw | Raw preparation completed for 'inmet_franca'. Cleaned file: /home/ivan/Documentos/Labs/Culltivo/storage/raw/dados_A708_D_2025-01-01_2026-07-06_inmet_franca_cleaned.csv
